# Etrue_lo Etrue_hi Ereco_lo Ereco_hi P(Ereco|Etrue)
8.91250938e+05 1.25892541e+06 1.99526231e+04 2.81838293e+04 1.26245257e-03
8.91250938e+05 1.25892541e+06 2.81838293e+04 3.98107171e+04 2.98070754e-03
8.91250938e+05 1.25892541e+06 3.98107171e+04 5.62341325e+04 6.07161543e-03
8.91250938e+05 1.25892541e+06 5.62341325e+04 7.94328235e+04 1.53944496e-02
8.91250938e+05 1.25892541e+06 7.94328235e+04 1.12201845e+05 2.85728263e-02
8.91250938e+05 1.25892541e+06 1.12201845e+05 1.58489319e+05 4.95211448e-02
8.91250938e+05 1.25892541e+06 1.58489319e+05 2.23872114e+05 6.50750912e-02
8.91250938e+05 1.25892541e+06 2.23872114e+05 3.16227766e+05 8.20203504e-02
8.91250938e+05 1.25892541e+06 3.16227766e+05 4.46683592e+05 9.50157200e-02
8.91250938e+05 1.25892541e+06 4.46683592e+05 6.30957344e+05 1.11571135e-01
8.91250938e+05 1.25892541e+06 6.30957344e+05 8.91250938e+05 1.75173689e-01
8.91250938e+05 1.25892541e+06 8.91250938e+05 1.25892541e+06 3.03348413e-01
8.91250938e+05 1.25892541e+06 1.25892541e+06 1.77827941e+06 6.14239194e-02
8.91250938e+05 1.25892541e+06 1.77827941e+06 2.51188643e+06 1.58188983e-03
8.91250938e+05 1.25892541e+06 2.51188643e+06 3.54813389e+06 2.28731262e-04
8.91250938e+05 1.25892541e+06 3.54813389e+06 5.01187234e+06 4.55473743e-05
8.91250938e+05 1.25892541e+06 5.01187234e+06 7.07945784e+06 9.45177106e-06
8.91250938e+05 1.25892541e+06 7.07945784e+06 1.00000000e+07 0.00000000e+00
1.25892541e+06 1.77827941e+06 1.00000000e+04 1.41253754e+04 3.08808783e-04
1.25892541e+06 1.77827941e+06 1.41253754e+04 1.99526231e+04 3.76698115e-04
1.25892541e+06 1.77827941e+06 1.99526231e+04 2.81838293e+04 8.56420393e-04
1.25892541e+06 1.77827941e+06 2.81838293e+04 3.98107171e+04 2.41722419e-03
1.25892541e+06 1.77827941e+06 3.98107171e+04 5.62341325e+04 5.19164692e-03
1.25892541e+06 1.77827941e+06 5.62341325e+04 7.94328235e+04 1.21539870e-02
1.25892541e+06 1.77827941e+06 7.94328235e+04 1.12201845e+05 2.51579410e-02
1.25892541e+06 1.77827941e+06 1.12201845e+05 1.58489319e+05 3.68375309e-02
1.25892541e+06 1.77827941e+06 1.58489319e+05 2.23872114e+05 4.83251966e-02
1.25892541e+06 1.77827941e+06 2.23872114e+05 3.16227766e+05 6.68709535e-02
1.25892541e+06 1.77827941e+06 3.16227766e+05 4.46683592e+05 8.46875689e-02
1.25892541e+06 1.77827941e+06 4.46683592e+05 6.30957344e+05 9.14529013e-02
1.25892541e+06 1.77827941e+06 6.30957344e+05 8.91250938e+05 1.08245817e-01
1.25892541e+06 1.77827941e+06 8.91250938e+05 1.25892541e+06 1.58960469e-01
