prior_type,phi_mult,phi_true,gamma_true,seed,gamma_post_mean,gamma_ci_lo,gamma_ci_hi,gamma_ci_width,gamma_bias,gamma_covered_90,accept_rate,rhat_max,n_events
flat,2.0,4.12e-18,2.3,1,2.1166788425788416,1.712287946087219,2.407002642531156,0.6947146964439375,-0.1833211574211581,1.0,0.5928583333333333,1.2095878534110047,1307
flat,2.0,4.12e-18,2.3,2,2.3116387995189016,1.8586126557198168,2.5615266310474576,0.7029139753276408,0.0116387995189017,1.0,0.6140416666666666,1.3420703431570091,1360
flat,2.0,4.12e-18,2.3,3,2.249800934720766,1.9427696153510263,2.466509784187698,0.5237401688366718,-0.0501990652792336,1.0,0.5972166666666667,1.1337031949066307,1328
flat,2.0,4.12e-18,2.3,4,2.4481299892042565,1.7614994073267434,4.194413546613255,2.4329141392865115,0.1481299892042566,1.0,0.6139333333333333,1.4508436640646696,1306
flat,2.0,4.12e-18,2.5,0,2.925039674255657,2.0697002338845283,4.236094492657339,2.166394258772811,0.425039674255657,1.0,0.6050666666666666,1.5354104723681794,1237
flat,2.0,4.12e-18,2.5,1,3.313001514588434,2.394020302203049,4.388237781864024,1.9942174796609748,0.813001514588434,1.0,0.582975,1.1920487109704292,1252
flat,2.0,4.12e-18,2.5,2,2.882169382578259,1.9972130349696455,4.099171815825551,2.101958780855905,0.382169382578259,1.0,0.6085583333333333,1.3775604085379538,1306
flat,2.0,4.12e-18,2.5,3,3.5455618331754506,2.3893261747678274,4.618921462839069,2.2295952880712413,1.0455618331754506,1.0,0.5864416666666666,1.1617761993706683,1266
flat,2.0,4.12e-18,2.5,4,3.182717115633276,2.087545388700242,4.335249387581196,2.247703998880953,0.6827171156332756,1.0,0.5816583333333333,1.3418125810143788,1245
flat,2.0,4.12e-18,2.7,0,3.3240688598442567,2.284591873181772,4.324979584197985,2.040387711016213,0.6240688598442565,1.0,0.6309833333333333,1.2426331576621177,1210
flat,2.0,4.12e-18,2.7,1,3.406728025044504,2.660373397996867,4.122209423262236,1.4618360252653688,0.7067280250445034,1.0,0.5907166666666667,1.0418780055564407,1219
flat,2.0,4.12e-18,2.7,2,3.3713060989213672,2.467462190991296,4.093377692131877,1.6259155011405817,0.6713060989213671,1.0,0.6021833333333333,1.2472120820954795,1271
flat,2.0,4.12e-18,2.7,3,3.514506161419807,2.655924690290327,4.302227729904207,1.6463030396138798,0.814506161419807,1.0,0.5800333333333333,1.1340017015095063,1235
flat,2.0,4.12e-18,2.7,4,3.3272959538298448,2.5282825466758165,4.21441134047454,1.6861287937987235,0.6272959538298446,1.0,0.6146166666666666,1.1530440439724143,1213
flat,2.0,4.12e-18,2.9,0,3.399413936909637,2.504499964152333,4.220447452750433,1.7159474885980996,0.4994139369096375,1.0,0.64025,1.266294306321578,1190
flat,2.0,4.12e-18,2.9,1,3.371580721689046,2.738328169473968,3.955680664312988,1.2173524948390204,0.4715807216890462,1.0,0.607,1.1880321290967164,1208
flat,2.0,4.12e-18,2.9,2,3.4506466432390925,2.84898922254765,3.875972360595133,1.0269831380474823,0.5506466432390926,1.0,0.6217083333333333,1.3253839893138224,1252
flat,2.0,4.12e-18,2.9,3,3.579513556189794,2.674967287617915,4.399107826508264,1.7241405388903497,0.6795135561897943,1.0,0.5766583333333334,1.1101263895172573,1221
flat,2.0,4.12e-18,2.9,4,3.373151119840786,2.5771137761767644,4.182920757312892,1.6058069811361273,0.4731511198407867,1.0,0.5735083333333333,1.1117864431990194,1194
flat,3.0,6.18e-18,2.1,0,1.990707075509577,1.719107002334279,2.160789621831904,0.4416826194976251,-0.109292924490423,1.0,0.6858,1.2201877247389037,1659
flat,3.0,6.18e-18,2.1,1,1.997610874028729,1.7937321988412465,2.1434433791301024,0.3497111802888559,-0.102389125971271,1.0,0.5983666666666667,1.7483229556417812,1701
flat,3.0,6.18e-18,2.1,2,1.9036829397486477,1.638464964452245,2.109875659138793,0.4714106946865484,-0.1963170602513526,1.0,0.6111833333333333,4.637778423804287,1754
flat,3.0,6.18e-18,2.1,3,2.0520925578615,1.8699205217371635,2.186321396069373,0.3164008743322095,-0.0479074421384999,1.0,0.5807916666666667,1.405719817321935,1705
flat,3.0,6.18e-18,2.1,4,2.0951224677540843,1.7839100803576389,2.262111991416009,0.4782019110583699,-0.0048775322459158,1.0,0.5976250000000001,2.241240480365108,1741
flat,3.0,6.18e-18,2.3,0,2.020397418744385,1.5772983707651898,2.2991682463523966,0.7218698755872068,-0.2796025812556149,0.0,0.6838416666666667,1.3312710171972804,1508
